APPLYER_ID,SEX,CERT_TYPE,MARRIAGE_STATUS,AGE,IS_HAS_DRIVING_LICENSE,EDUCATION,IS_OWN_ESTATE,PROPERTY_OWNER,PROPERTY_LOAN,PROPERTY_ADD_TYPE,PROPERTY_LOCATION,INCOME_YEAR,MAIN_INCOME_FROM,CUS_CATEGORY,IDCARD_CHECKFLAG,JOB_INDUSTRY,JOB_POSITION,JOB_MONTH,JOB_COMP_INDUSTRY,Y
6317346,F,IdentityCard,,46,Has,AssociateDegree,,,,,,0,,,Y,,,,,0
6317367,F,IdentityCard,,57,No,JuniormiddleSchool,,,,,,40000,,,Y,,,,,0
6317380,M,IdentityCard,Single,31,Has,SecondaryTechnology,N,,,,,200000,,,Y,,,,,0
6317384,F,IdentityCard,,33,Has,AssociateDegree,,,,,,80000,,,Y,,,,,0
6317392,M,IdentityCard,,31,No,SecondaryTechnology,,,,,,60000,,,Y,,,,,0
6317407,M,IdentityCard,Married,31,Has,AssociateDegree,N,,,,,60000,,,Y,,,,,0
6317411,F,IdentityCard,,45,No,JuniormiddleSchool,,,,,,24000,,,Y,,,,,0
6317424,F,IdentityCard,,51,No,Technology,,,,,,30000,,,Y,,,,,0
3916093,F,IdentityCard,,28,No,AssociateDegree,,,,,,40000,,,Y,,,,,0
3916106,M,IdentityCard,Married,34,Has,SecondaryTechnology,N,,,,,70000,,,Y,,,,,0
3916116,F,IdentityCard,Married,34,Training,AssociateDegree,Y,AllOwn,N,CurrAddr,Local,45000,Salary,70,Y,,,,,0
3916125,M,IdentityCard,Single,41,Has,AssociateDegree,Y,ApplyerOwn,Y,CurrAddr,Local,120000,,,Y,,,,,0
3916145,F,IdentityCard,,46,No,AssociateDegree,,,,,,60000,,,Y,,,,,0
3916151,F,IdentityCard,,42,Has,AssociateDegree,,,,,,0,,,N,,,,,0
3916156,M,IdentityCard,,40,Has,Bachelor,,,,,,80000,,,Y,,,,,0
3916163,F,IdentityCard,,41,Has,AssociateDegree,,,,,,100000,,,Y,,,,,0
3916165,F,,,,,,,,,,,0,,,N,,,,,0
3916173,M,IdentityCard,Married,32,Has,SecondaryTechnology,N,,,,,60000,,,Y,,,,,0
3916174,F,IdentityCard,,36,No,AssociateDegree,,,,,,65000,,,Y,Technician,Eployee,81,,0
6471154,F,IdentityCard,,34,No,JuniormiddleSchool,,,,,,50000,,,Y,,,,,0
6471155,M,IdentityCard,Married,36,Has,AssociateDegree,Y,ApplyerOwn,N,CurrAddr,Local,100000,,,Y,CommerceService,Eployee,66,D,0
6471163,M,IdentityCard,,37,Has,SecondaryTechnology,,,,,,100000,,,Y,,,,,0
6471172,M,IdentityCard,Married,35,Has,Technology,Y,ApplyerOwn,,CurrAddr,Local,60000,,,Y,,,,,0
6471190,F,IdentityCard,,31,Has,AssociateDegree,,,,,,30000,,,Y,,,,,0
